"docname" "pre" "keyword" "post" "pattern"
"1" "12.09.2000_chanceler_L.F.Lampreia_pt_nova.york.txt" "combate ao narcotráfico e ao crime organizado , um problema que atinge , sob formas diferentes , todas as regiões do mundo , os Presidentes destacaram o papel desempenhado pela" "OEA" "na luta contra as drogas nas Américas , e o estabelecimento , no ano passado , do Mecanismo de Avaliação Multilateral para avaliação do desempenho dos países do hemisfério nesse" "oea"
"2" "17.09.1970_chanceler_M.G.Barboza_pt_nova.york.txt" "anos e que a estrutura da vida internacional não cessou de evoluir . Finalmente , não poderia deixar de mencionar a realização da primeira Sessão Especial da Assembleia Geral da" "Organização dos Estados Americanos" ", que marca a efetivação das transformações estruturais da 335 XXV SESSÃO ORDINÁRIA - 1970 OEA , previstas no Protocolo de Buenos Aires de 1967 . Atualizando seus mecanismos de" "organização dos estados americanos"
"3" "17.09.1970_chanceler_M.G.Barboza_pt_nova.york.txt" "mencionar a realização da primeira Sessão Especial da Assembleia Geral da Organização dos Estados Americanos , que marca a efetivação das transformações estruturais da 335 XXV SESSÃO ORDINÁRIA - 1970" "OEA" ", previstas no Protocolo de Buenos Aires de 1967 . Atualizando seus mecanismos de cooperação , os países do Hemisfério Ocidental reafirmam seu desejo de ampliar a ação comum pelo" "oea"
"4" "17.09.1970_chanceler_M.G.Barboza_pt_nova.york.txt" "mão armada , aprisionamento de reféns inocentes , particularmente agentes diplomáticos , assassinatos bárbaros e covardes , são crimes que a opinião mundial repele e condena veementemente e que a" "Organização dos Estados Americanos" "já classificou como delitos comuns e , mesmo , de lesa-humanidade . Fazendo-se eco desse pensamento , a primeira Sessão Especial da Assembleia Geral da OEA reafirmou sua mais enfática" "organização dos estados americanos"
"5" "17.09.1970_chanceler_M.G.Barboza_pt_nova.york.txt" "a Organização dos Estados Americanos já classificou como delitos comuns e , mesmo , de lesa-humanidade . Fazendo-se eco desse pensamento , a primeira Sessão Especial da Assembleia Geral da" "OEA" "reafirmou sua mais enfática repulsa a tais métodos de violência e terror . O Brasil é particularmente sensível ao problema e vive há um mês e meio o drama angustiante" "oea"
"6" "21.09.1954_embaixador_E.Leme_pt_nova.york.txt" "sem dúvida necessário regulá-lo , reservando sua aplicação para casos excepcionais . O Brasil é membro de uma organização regional que dá valor às nações de nosso hemisfério . A" "Organização dos Estados Americanos" "encaixa-se na estrutura das Nações Unidas , mas as suas origens são mais antigas , e sua história remonta , na verdade , a épocas anteriores - mais de um" "organização dos estados americanos"
"7" "21.09.1998_chanceler_L.F.Lampreia_pt_nova.york.txt" "como traço comum das nações do nosso continente , valor maior com o qual estamos coletivamente comprometidos no MERCOSUL , no Grupo do Rio , e , ainda , na" "Organização dos Estados Americanos" ". O advento e a consolidação da democracia foi o fator determinante da extraordinária obra de integração na qual se acham engajadas as nações da América do Sul . Trata-se" "organização dos estados americanos"
"8" "22.09.1960_chanceler_H.Lafer_pt_nova.york.txt" "cor ou religião , que repugnam a consciência do povo brasileiro e são claramente condenadas pela Carta da Organização . O Brasil submeteu um projeto de resolução ao Conselho da" "Organização dos Estados Americanos" "para expressar o repúdio a toda e qualquer forma de distinção e segregação racial , projeto que contou com a votação unânime dos países americanos . Neste sentido , quero" "organização dos estados americanos"
"9" "22.09.1986_chanceler_R.A.Sodré_pt_nova.york.txt" "soberanos dos Estados . O Brasil participou ativamente da Conferência Especializada Interamericana sobre Narcotráfico , realizada no Rio de Janeiro , em abril deste ano , sob os auspícios da" "OEA" ". Daremos , igualmente , nossa mais dedicada colaboração aos trabalhos da Conferência Internacional sobre Entorpecentes que se realizará em Viena , em 1987 . O terceiro tema é o" "oea"
"10" "25.09.1972_chanceler_M.G.Barboza_pt_nova.york.txt" "com o problema do terrorismo , que tem atingido tantos países , entre os quais o meu próprio , como é sabido . Em janeiro de 1971 a Assembleia da" "Organização dos Estados Americanos" "reuniu-se em caráter extraordinário para procurar assentar , no plano regional , um ordenamento jurídico capaz de enfrentar e vencer essa intolerável ameaça à paz e ao bem-estar de nossos" "organização dos estados americanos"
"11" "26.09.1994_chanceler_C.Amorim_pt_nova.york.txt" "povo haitiano . É motivo de inquietação para nós que os princípios da não intervenção e da autodeterminação sejam objeto de interpretações incompatíveis com as Cartas da ONU e da" "OEA" ". A gravidade da crise haitiana e a urgência em resolvê-la não nos impedem de ver os riscos embutidos numa situação que evoca traumas e cicatrizes ainda vivos na memória" "oea"
